name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Armon Watts,Defensive Tackle,Arkansas,SEC,77.0,300.0,5.23,,,,,,23.0,3,0,0,0,0,1,0,2.0,3.0,7.0,25.0,0.0,8.5,49.0,,,,2019,,,,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
Isaiah Buggs,Defensive Tackle,Alabama,SEC,75.0,306.0,5.15,20.0,24.5,96.0,8.01,4.83,23.0,2,0,0,0,1,1,0,3.0,6.0,10.0,24.0,0.0,14.0,52.0,0.0,0.0,1.0,2019,,,,0.0,7.0,1.5,20.0,0.0,4.0,51.0,,,,,,,,,,,,,,,,,,,,
Demarcus Christmas,Defensive Tackle,Florida State,ACC,75.0,294.0,5.08,22.0,25.5,101.0,8.13,5.07,24.0,3,0,0,0,1,1,1,2.0,1.0,0.0,14.0,0.0,3.0,28.0,,,,2019,0.0,0.0,1.0,4.0,2.0,1.0,19.0,0.0,4.5,36.0,5.0,0.0,2.0,11.0,0.0,2.5,21.0,0.0,0.0,1.0,,,,,,,,,,
Terry Beckner Jr.,Defensive Tackle,Missouri,SEC,76.0,296.0,,,,,,,22.0,3,0,1,1,1,0,0,1.0,5.0,3.5,24.0,0.0,11.5,34.0,,,,2019,,,,2.0,5.0,7.0,20.0,0.0,11.0,38.0,0.0,3.0,0.0,16.0,0.0,2.0,24.0,0.0,0.0,1.0,,,,,,,,,,
PJ Johnson,Defensive Tackle,Arizona,Pac-12,76.0,334.0,,,,,,,23.0,1,0,0,0,0,1,0,1.0,0.0,3.0,19.0,0.0,6.5,27.0,0.0,0.0,2.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontavius Russell,Defensive Tackle,Auburn,SEC,75.0,319.0,5.15,24.0,,,7.81,4.77,23.0,3,0,0,1,1,1,0,0.0,2.0,1.5,13.0,0.0,6.0,36.0,,,,2019,,,,2.0,5.0,2.0,17.0,0.0,5.5,42.0,1.0,6.0,0.0,9.0,0.0,0.0,29.0,,,,,,,,,,,,,
Cortez Broughton,Defensive Tackle,Cincinnati,American Athletic,74.0,293.0,,,,,,,23.0,3,0,0,1,1,1,0,5.0,5.0,5.5,30.0,0.0,16.5,50.0,,,,2019,0.0,0.0,1.0,1.0,5.0,1.0,12.0,0.0,3.5,34.0,2.0,1.0,2.5,21.0,0.0,5.0,42.0,,,,,,,,,,,,,
Chris Slayton,Defensive Tackle,Syracuse,ACC,76.0,307.0,5.13,28.0,29.0,101.0,,4.73,23.0,3,0,0,1,1,1,0,0.0,6.0,3.5,16.0,0.0,8.0,24.0,,,,2019,,,,1.0,1.0,1.0,18.0,0.0,8.5,28.0,1.0,2.0,4.0,18.0,0.0,10.0,33.0,0.0,0.0,1.0,,,,,,,,,,
Derrick Brown,Defensive Tackle,Auburn,SEC,77.0,326.0,5.16,28.0,27.0,108.0,8.22,4.79,22.0,4,1,1,1,1,0,0,4.0,2.0,4.0,33.0,0.0,12.5,55.0,0.0,0.0,2.0,2020,0.0,0.0,1.0,2.0,6.0,4.5,25.0,0.0,10.0,48.0,1.0,3.0,2.0,26.0,0.0,8.5,52.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.5,11.0
Javon Kinlaw,Defensive Tackle,South Carolina,SEC,77.0,324.0,,,,,,,22.0,3,0,1,1,1,0,0,2.0,4.0,6.0,15.0,0.0,6.0,35.0,0.0,0.0,1.0,2020,,,,5.0,3.0,3.5,19.0,0.0,8.5,33.0,3.0,0.0,0.0,12.0,0.0,2.0,20.0,,,,,,,,,,,,,
Ross Blacklock,Defensive Tackle,TCU,Big 12,75.0,290.0,4.9,,29.0,107.0,7.77,4.67,22.0,3,0,1,1,1,0,0,0.0,3.0,3.5,25.0,0.0,9.0,40.0,,,,2020,,,,,,,,,,,0.0,0.0,2.0,13.0,0.0,6.5,25.0,,,,,,,,,,,,,
Marlon Davidson,Defensive Tackle,Auburn,SEC,75.0,303.0,5.04,21.0,,,,,22.0,4,1,1,1,1,0,0,1.0,5.0,7.5,30.0,0.0,12.5,49.0,0.0,0.0,1.0,2020,,,,3.0,11.0,3.5,20.0,0.0,4.0,46.0,1.0,4.0,3.0,18.0,0.0,6.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,6.0,2.5,23.0,0.0,6.0,38.0
