name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,conference_prestige
Trevon Wesco,Tight End,West Virginia,Big 12,0.3333333333333333,0.9166666666666666,0.032727226141429325,0.9090909090909091,0.27586206896551724,0.34615384615384615,0.26186132247117117,0.5139744952650303,0.5,3,0,0,1,1,1,0,0.24705882352941178,0.0625,0.3002780352177943,0.536,0.09090909090909091,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,,,,,0.0,0.09090909090909091,0.001445086705202312,0.04807692307692307,,,,,,,,,,,,,2019,0.9
Foster Moreau,Tight End,LSU,SEC,0.3333333333333333,0.5277777777777778,0.48461900070145064,0.8181818181818182,0.6551724137931034,0.5,0.3070638053321454,0.9399725485710678,0.3333333333333333,4,1,1,1,1,0,0,0.2,0.125,0.21316033364226136,0.4000000000000001,,,,,0.29252782193958665,0.20512820512820512,0.24750558451228596,0.5120772946859904,,,,,0.1,0.09090909090909091,0.1069364161849711,0.39423076923076916,,,,,,,,,,,,,2019,1.0
Zach Gentry,Tight End,Michigan,Big Ten,1.0,0.8611111111111112,0.025338356312171736,0.36363636363636365,0.1724137931034483,0.07692307692307693,0.03669290695281776,0.10556930982151538,0.3333333333333333,2,0,0,1,1,0,0,0.3176470588235294,0.125,0.43744207599629287,0.6960000000000002,,,,,0.20349761526232116,0.13675213675213677,0.26984363365599406,0.8115942028985508,,,,,,,,,,,,,,,,,,,,,2019,1.0
Kaden Smith,Tight End,Stanford,Pac-12,0.5,0.5833333333333334,0.011896774011000207,0.5,0.3448275862068966,0.0,0.5320404229910747,0.23038685832675523,0.3333333333333333,2,0,0,1,1,0,0,0.49411764705882355,0.125,0.5495829471733086,0.48800000000000004,,,,,0.27980922098569155,0.3418803418803419,0.3690245718540581,0.821256038647343,,,,,,,,,,,,,,,,,,,,,2019,0.9
Isaac Nauta,Tight End,Georgia,SEC,0.16666666666666666,0.2777777777777778,0.018407635128509715,0.6818181818181818,0.06896551724137931,,0.017479972833331688,0.34690973065790576,0.3333333333333333,3,0,1,1,1,0,0,0.29411764705882354,0.1875,0.35959221501390176,0.5520000000000002,0.0,1.0,0.4492753623188406,0.0,0.10174880763116058,0.13675213675213677,0.1009679821295607,0.5652173913043478,,,,,0.56,0.2727272727272727,0.5144508670520231,0.3557692307692308,,,,,,,,,,,,,2019,1.0
Tommy Sweeney,Tight End,Boston College,ACC,0.5,0.4722222222222222,0.08942101225160765,0.5909090909090909,,,,,0.6666666666666666,4,0,0,1,1,1,1,0.3176470588235294,0.1875,0.283595922150139,0.28,,,,,0.4451510333863275,0.27350427350427353,0.45658972449739393,0.6376811594202898,,,,,0.5,0.2727272727272727,0.5028901734104047,0.41346153846153844,,,,,0.11764705882352941,0.0,0.13901345291479822,0.44705882352941173,,,,,2019,0.9
Alize Mack,Tight End,Notre Dame,FBS Independents,0.3333333333333333,0.4166666666666667,0.3501964086836398,0.8181818181818182,0.6206896551724138,0.46153846153846156,0.12548161503799046,0.6363973403648974,0.3333333333333333,4,1,1,1,1,0,0,0.36470588235294116,0.1875,0.29471733086190915,0.208,,,,,0.2289348171701113,0.06837606837606838,0.14743112434847358,0.3719806763285024,,,,,,,,,,,,,0.35294117647058826,0.0,0.4125560538116592,0.5058823529411764,,,,,2019,0.9
Caleb Wilson,Tight End,UCLA,Pac-12,0.3333333333333333,0.16666666666666666,0.799288700639013,,0.13793103448275862,0.19230769230769232,0.22273273820408995,0.44673530780189896,0.5,3,0,0,1,1,1,0,0.6470588235294118,0.25,0.8554216867469879,0.6960000000000002,0.09090909090909091,0.0,0.057971014492753624,0.057971014492753624,0.47058823529411764,0.06837606837606838,0.43693224125093083,0.5748792270531401,,,,,0.3,0.0,0.3106936416184971,0.4230769230769231,,,,,,,,,,,,,2019,0.9
Cole Kmet,Tight End,Notre Dame,FBS Independents,0.6666666666666666,0.7777777777777778,0.3501964086836398,,0.6896551724137931,0.5769230769230769,0.020925938996821623,0.41290281273988483,0.16666666666666666,3,1,1,1,0,0,0,0.4470588235294118,0.375,0.43836886005560705,0.36800000000000005,,,,,0.178060413354531,0.0,0.1438570364854803,0.4734299516908213,,,,,0.02,0.0,0.01300578034682081,0.09615384615384615,,,,,,,,,,,,,2020,0.9
Devin Asiasi,Tight End,UCLA,Pac-12,0.16666666666666666,0.6388888888888888,0.26578705014122866,0.5454545454545454,0.2413793103448276,0.2692307692307692,,,0.5,4,0,1,1,1,1,0,0.4588235294117647,0.25,0.5551436515291936,0.5760000000000001,,,,,0.06359300476947535,0.06837606837606838,0.1152643335815339,1.0,,,,,,,,,,,,,0.029411764705882353,0.16666666666666666,0.026905829596412557,0.17647058823529413,,,,,2020,0.9
Josiah Deguara,Tight End,Cincinnati,American Athletic,0.0,0.2222222222222222,0.29208572744670536,0.9545454545454546,0.5862068965517241,0.2692307692307692,0.3319353139264989,0.607996518233833,0.5,4,0,1,1,1,1,0,0.4,0.4375,0.4281742354031511,0.44000000000000006,0.0,1.0,0.028985507246376812,0.0,0.47058823529411764,0.3418803418803419,0.41727475800446767,0.5458937198067634,,,,,0.2,0.0,0.13439306358381503,0.1875,,,,,0.08823529411764706,0.0,0.09192825112107623,0.34117647058823536,0.0,0.0,0.0,0.0,2020,0.55
