collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeamId,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
511450.0,46848,2483,Oregon,Pac-12,4,Cincinnati,2015,53,2,21,Jake Fisher,Offensive Tackle,78.0,306,39.0,8.0,87.0
514508.0,46853,158,Nebraska,Big Ten,8,Detroit,2015,54,2,22,Ameer Abdullah,Running Back,69.0,205,44.0,3.0,85.0
530747.0,46858,135,Minnesota,Big Ten,33,Baltimore,2015,55,2,23,Maxx Williams,Tight End,76.0,249,49.0,1.0,83.0
512007.0,46877,145,Ole Miss,SEC,23,Pittsburgh,2015,56,2,24,Senquez Golson,Cornerback,69.0,176,68.0,9.0,78.0
2515613.0,46911,275,Wisconsin,Big Ten,14,Los Angeles,2015,57,2,25,Robert Havenstein,Offensive Tackle,79.0,321,102.0,12.0,69.0
531379.0,46884,142,Missouri,SEC,22,Arizona,2015,58,2,26,Markus Golden,Defensive End,74.0,260,75.0,8.0,77.0
502892.0,46899,36,Colorado State,Mountain West,7,Denver,2015,59,2,27,Ty Sambrailo,Offensive Tackle,78.0,311,90.0,11.0,70.0
545598.0,46827,158,Nebraska,Big Ten,6,Dallas,2015,60,2,28,Randy Gregory,Outside Linebacker,77.0,235,18.0,1.0,90.0
,46892,174,Hobart College,Liberty League,27,Tampa Bay,2015,61,2,29,Ali Marpet,Offensive Guard,76.0,307,83.0,4.0,72.0
3125961.0,46880,193,Miami (OH),Mid-American,9,Green Bay,2015,62,2,30,Quinten Rollins,Cornerback,71.0,195,71.0,10.0,77.0
511704.0,47020,130,Michigan,Big Ten,26,Seattle,2015,63,2,31,Frank Clark,Defensive End,75.0,271,211.0,19.0,45.0
516368.0,47012,24,Stanford,Pac-12,17,New England,2015,64,2,32,Jordan Richards,Safety,71.0,211,203.0,16.0,47.0
537096.0,46893,2226,Florida Atlantic,Conference USA,11,Indianapolis,2015,65,3,1,D'Joun Smith,Cornerback,70.0,187,84.0,11.0,72.0
-1040027.0,46909,254,Utah,Pac-12,10,Tennessee,2015,66,3,2,Jeremiah Poutasi,Offensive Guard,77.0,335,100.0,6.0,69.0
-1032052.0,46879,2579,South Carolina,SEC,30,Jacksonville,2015,67,3,3,A.J. Cann,Offensive Guard,75.0,313,70.0,2.0,77.0
501147.0,46872,2390,Miami,ACC,13,Las Vegas,2015,68,3,4,Clive Walford,Tight End,76.0,251,63.0,2.0,80.0
515181.0,46861,2306,Kansas State,Big 12,26,Seattle,2015,69,3,5,Tyler Lockett,Wide Receiver,70.0,182,52.0,10.0,82.0
546465.0,46839,9,Arizona State,Pac-12,34,Houston,2015,70,3,6,Jaelen Strong,Wide Receiver,74.0,217,30.0,8.0,88.0
504753.0,46896,2483,Oregon,Pac-12,3,Chicago,2015,71,3,7,Hroniss Grasu,Center,75.0,297,87.0,2.0,71.0
-1018083.0,47001,97,Louisville,ACC,14,Los Angeles,2015,72,3,8,Jamon Brown,Offensive Tackle,76.0,323,192.0,18.0,48.0
535801.0,46875,84,Indiana,Big Ten,1,Atlanta,2015,73,3,9,Tevin Coleman,Running Back,71.0,206,66.0,6.0,78.0
2510866.0,46864,26,UCLA,Pac-12,19,New York,2015,74,3,10,Owa Odighizuwa,Defensive End,76.0,267,55.0,6.0,82.0
515528.0,46930,36,Colorado State,Mountain West,18,New Orleans,2015,75,3,11,Garrett Grayson,Quarterback,75.0,213,121.0,5.0,65.0
513146.0,46937,61,Georgia,SEC,12,Kansas City,2015,76,3,12,Chris Conley,Wide Receiver,74.0,211,128.0,20.0,61.0
-1019748.0,46874,2390,Miami,ACC,5,Cleveland,2015,77,3,13,Duke Johnson,Running Back,69.0,207,65.0,5.0,78.0
